类型,成分,无风化均值,风化均值,无风化检出率,风化检出率,差值,相对变化率,风化系数,风化系数_boot,风化系数_CI低,风化系数_CI高,MannWhitney_U,p值,不稳定,p_FDR,显著_FDR<0.05,显著(p<0.05)
高钾,SiO2,67.77000000000001,93.96333333333332,1.0,1.0,26.193333333333314,0.3865033692390927,1.3865033692390927,1.3891078613348053,1.304517582709815,1.479425953457956,0.0,0.00024975024975024975,False,0.0034965034965034965,True,True
高钾,Na2O,0.834,0.0,0.3,0.0,-0.834,-1.0,0.0,0.0,0.0,0.0,39.0,0.17623224021150963,True,0.20560428024676125,False,False
高钾,K2O,9.566500000000001,0.5433333333333333,0.9,0.6666666666666666,-9.023166666666668,-0.9432045854457395,0.05679541455426052,0.05790131708129643,0.023250425019054072,0.09811150881407374,55.0,0.007693142006014619,False,0.021540797616840933,True,True
高钾,CaO,5.7345,0.8700000000000001,0.9,1.0,-4.8645,-0.8482866858488098,0.1517133141511902,0.15308558367157274,0.08694050347254184,0.24611418314576844,54.0,0.007492507492507492,False,0.021540797616840933,True,True
高钾,MgO,1.054,0.19666666666666668,0.9,0.3333333333333333,-0.8573333333333334,-0.8134092346616066,0.18659076533839342,0.1912949423088911,0.0,0.4577057377743876,53.0,0.0132429375674621,False,0.030900187657411565,True,True
高钾,Al2O3,6.406000000000001,1.93,1.0,1.0,-4.476000000000001,-0.6987199500468312,0.30128004995316887,0.30302092059377667,0.1946406331289117,0.44848383245403545,59.0,0.0004995004995004995,False,0.0034965034965034965,True,True
高钾,Fe2O3,1.7885000000000002,0.265,0.9,1.0,-1.5235000000000003,-0.8518311434162706,0.14816885658372939,0.15628284736390713,0.09523696199088869,0.25850151019768325,54.0,0.007492507492507492,False,0.021540797616840933,True,True
高钾,CuO,2.415,1.5616666666666665,0.9,1.0,-0.8533333333333335,-0.35334713595583167,0.6466528640441683,0.664166083804282,0.3495217773076356,1.1184751246311464,41.0,0.26348651348651353,False,0.28375470683162995,False,False
高钾,PbO,0.38350000000000006,0.0,0.5,0.0,-0.38350000000000006,-1.0,0.0,0.0,0.0,0.0,45.0,0.0558501136757434,True,0.08687795460671195,False,False
高钾,BaO,0.4574999999999999,0.0,0.3,0.0,-0.4574999999999999,-1.0,0.0,0.0,0.0,0.0,39.0,0.17623224021150963,True,0.20560428024676125,False,False
高钾,P2O5,1.1809999999999998,0.27999999999999997,0.9,0.8333333333333334,-0.9009999999999998,-0.7629127857747671,0.23708721422523285,0.26072014994994597,0.10415734609878312,0.5376514703429031,50.5,0.029938625245384896,False,0.05987725049076979,False,True
高钾,SrO,0.0335,0.0,0.5,0.0,-0.0335,-1.0,0.0,0.0,0.0,0.0,45.0,0.0558501136757434,True,0.08687795460671195,False,False
高钾,SnO2,0.236,0.0,0.1,0.0,-0.236,-1.0,0.0,0.0,0.0,0.0,33.0,0.5186050164287256,True,0.5186050164287256,False,False
高钾,SO2,0.122,0.0,0.3,0.0,-0.122,-1.0,0.0,0.0,0.0,0.0,39.0,0.17623224021150963,True,0.20560428024676125,False,False
铅钡,SiO2,56.347894736842115,27.21578947368421,1.0,1.0,-29.132105263157904,-0.5170043246373563,0.48299567536264365,0.4867404273977719,0.4032727287761925,0.5922060056982933,345.0,1.6828346815033982e-06,False,2.3559685541047573e-05,True,True
铅钡,Na2O,1.736315789473684,0.29578947368421055,0.47368421052631576,0.21052631578947367,-1.4405263157894734,-0.8296453470748711,0.17035465292512886,0.18971293945774653,0.028962259919660678,0.4485569168953906,243.0,0.032364203589842155,False,0.09061977005155804,False,True
铅钡,K2O,0.1986842105263158,0.1636842105263158,0.6842105263157895,0.47368421052631576,-0.035,-0.176158940397351,0.823841059602649,0.8739244045390961,0.3179041060230114,1.840215380549682,211.0,0.3624311048428751,False,0.5637817186444724,False,False
铅钡,CaO,1.0742105263157895,2.4200000000000004,0.8947368421052632,1.0,1.3457894736842109,1.25281724644782,2.2528172464478198,2.3798359926378803,1.356294257929446,3.9362293044168206,74.5,0.0020673462767565555,False,0.007235711968647944,True,True
铅钡,MgO,0.5852631578947369,0.606578947368421,0.5789473684210527,0.5263157894736842,0.021315789473684066,0.036420863309352264,1.0364208633093523,1.099793284336156,0.45825649938251894,2.0330599982859714,186.5,0.8663640794035545,False,0.9330074701269049,False,False
铅钡,Al2O3,4.375263157894738,3.010263157894737,1.0,1.0,-1.3650000000000007,-0.3119812342114761,0.688018765788524,0.7093679438177322,0.40410598922380875,1.2316816701848037,238.0,0.0960923294556733,False,0.22421543539657104,False,False
铅钡,Fe2O3,0.6968421052631578,0.5394736842105263,0.47368421052631576,0.631578947368421,-0.1573684210526315,-0.22583081570996968,0.7741691842900303,0.9093603942657401,0.34542825289218193,2.0443796296296286,164.0,0.6245025956727122,False,0.7716839684554261,False,False
