文物采样点,文物编号,类型,采样标记,SiO2_预测风化前,SiO2_风化检测,Na2O_预测风化前,Na2O_风化检测,K2O_预测风化前,K2O_风化检测,CaO_预测风化前,CaO_风化检测,MgO_预测风化前,MgO_风化检测,Al2O3_预测风化前,Al2O3_风化检测,Fe2O3_预测风化前,Fe2O3_风化检测,CuO_预测风化前,CuO_风化检测,PbO_预测风化前,PbO_风化检测,BaO_预测风化前,BaO_风化检测,P2O5_预测风化前,P2O5_风化检测,SrO_预测风化前,SrO_风化检测,SnO2_预测风化前,SnO2_风化检测,SO2_预测风化前,SO2_风化检测
02,2,铅钡,普通,62.28267983705102,36.28,0.6219406480013675,0.0,1.216367319281239,1.05,1.0004195257489266,2.34,1.087695760553345,1.18,7.526942441314791,5.73,1.3992911766062726,1.86,0.180587651090522,0.26,23.06307196129538,47.43,0.40462979319673203,0.0,0.5052621844231364,3.57,0.11766203823816809,0.19,0.09830777456896612,0.0,0.3851418886301158,0.0
07,7,高钾,普通,80.64800210418444,92.63,0.7530039130127465,0.0,1.6773838144412152,0.0,3.489736694950336,1.07,0.5345962712341908,0.0,4.8248573265325785,1.98,0.4964118855391944,0.17,4.228798609668545,3.24,0.12418683250132567,0.0,0.6690028668297849,0.0,1.3969735145183075,0.61,0.0313628872947267,0.0,0.5978344363980843,0.0,0.2278488428944982,0.0
08,8,铅钡,普通,39.575771475884636,20.14,0.7118997704243921,0.0,0.07293030750517451,0.0,0.7242657172442947,1.48,0.247949480018843,0.0,2.014831270075432,1.34,0.07319543366590925,0.0,8.276283175669633,10.41,15.962947580831216,28.68,28.928755306103596,31.23,0.5815846545553732,3.59,0.2622734937394869,0.37,0.11252726827146686,0.0,2.2747850660105495,2.58
08严重风化点,8,铅钡,严重风化点,11.515575201872807,4.61,0.9049688694716799,0.0,0.09270919963049659,0.0,1.984456956119254,3.19,0.31519403424582826,0.0,2.1216397812574153,1.11,0.09304622870666054,0.0,3.1734309086564783,3.14,22.95955300897031,32.45,36.05601595064705,30.62,1.5568797605828684,7.56,0.47757692411006913,0.53,0.14304496079786427,0.0,16.84590821493121,15.03
09,9,高钾,普通,84.20660802255456,95.02,0.7664545938465229,0.0,3.414692826969441,0.59,2.0582104101339804,0.62,0.5441456025126012,0.0,3.2740281944257306,1.32,0.9511136766135442,0.32,2.0591732578981516,1.55,0.12640514427748878,0.0,0.6809530624172234,0.0,0.8158598856656156,0.35,0.031923113051508294,0.0,0.6085133718676999,0.0,0.23191883776591585,0.0
10,10,高钾,普通,86.59720851940037,96.77,0.7739598568754656,0.0,5.376745273858963,0.92,0.703962264691621,0.21,0.5494739753942927,0.0,2.028735864219773,0.81,0.7803470634580869,0.26,1.1268665344496387,0.84,0.1276429264809364,0.0,0.6876210788722579,0.0,0.1765390573529065,0.0,0.032235709990815334,0.0,0.6144720456745537,0.0,0.23418982928031742,0.0
11,11,铅钡,普通,58.56962127259494,33.59,0.6317006756892053,0.0,0.24709112033292796,0.21,1.5241784543729033,3.51,0.6647313736292483,0.71,3.589042925975036,2.69,0.06494959940295411,0.0,3.4779554930033862,4.93,12.539757267813993,25.39,12.008823678359382,14.61,1.3483847039254249,9.38,0.23272706368739918,0.37,0.09985050473912967,0.0,0.39118586647407133,0.0
12,12,高钾,普通,81.72076836804455,94.29,0.7495870753021892,0.0,5.716848226182229,1.01,2.3375786686416355,0.72,0.5321704821142274,0.0,3.54157952111172,1.46,0.8429777356039304,0.29,2.143782856577714,1.65,0.12362332115017283,0.0,0.6659671930645462,0.0,0.3419593264487969,0.15,0.03122057475933518,0.0,0.5951216971789985,0.0,0.22681495382001263,0.0
19,19,铅钡,普通,56.785476238384724,29.64,0.6940775584075213,0.0,0.0711045176161878,0.0,1.3979543288504224,2.93,0.6069270598417431,0.59,5.233488207573841,3.57,1.1166211592385573,1.33,2.720701389639633,3.51,23.236448646208355,42.82,4.831708170402971,5.35,1.3946599950145542,8.83,0.1313092824533002,0.19,0.1097101795236817,0.0,0.4298132668444979,0.0
22,22,高钾,普通,76.94578619690927,92.35,0.7206148800579151,0.0,4.026689520627763,0.74,5.1811117924030095,1.66,1.2593270845925613,0.64,8.161938579695624,3.5,0.9780640290204705,0.35,0.6869745921735976,0.55,0.11884517179952603,0.0,0.6402269793129032,0.0,0.460239219679635,0.21,0.030013872272901216,0.0,0.572119723728719,0.0,0.21804835772609618,0.0
26,26,铅钡,普通,39.15828362972137,19.79,0.7168475132759262,0.0,0.0734371771834774,0.0,0.7095886094057218,1.44,0.2496727426441046,0.0,1.0598388965167183,0.7,0.07370414598572007,0.0,8.461893005831886,10.57,16.550278932504934,29.53,30.081217714060003,32.25,0.5105881814510226,3.13,0.3211982137140997,0.45,0.11330933902120306,0.0,1.7401418986838053,1.96
26严重风化点,26,铅钡,严重风化点,9.119686152218822,3.72,0.8881491045217321,0.0,0.6617171277008327,0.4,1.83767936250992,3.01,0.30933583320877434,0.0,2.213517300892811,1.18,0.09131687010757562,0.0,3.57070640365719,3.6,20.776029777575225,29.92,40.96764812824998,35.45,1.2207379845417268,6.04,0.5482913524458553,0.62,0.14038632501595155,0.0,17.544798277353625,15.95
27,27,高钾,普通,80.96574994773319,92.72,0.7552369052675912,0.0,1.6823580051476925,0.0,3.0748413089892144,0.94,1.1136079124492988,0.54,6.134497272614647,2.51,0.585745844772061,0.2,2.0159450244173085,1.54,0.12455510181618187,0.0,0.6709867585390894,0.0,0.826888227752745,0.36,0.0314558922356154,0.0,0.5996072819877111,0.0,0.22852451627768586,0.0
34,34,铅钡,普通,61.240977170245436,35.78,0.6200842564499007,0.0,0.28874682402813706,0.25,0.3324778121275121,0.78,0.2159708084509809,0.0,2.12168424172733,1.62,0.35252893792986295,0.47,1.0456670223253286,1.51,22.56760532199043,46.55,8.068440783157197,10.0,0.047976577055657485,0.34,0.13583359982818288,0.22,0.09801434187126437,0.0,0.3839923028127763,0.0
36,36,铅钡,普通,63.549224992748805,39.57,3.2291343978030276,2.22,0.15172169147595752,0.14,0.14798313451951897,0.37,0.20264574385920806,0.0,1.9662020820288495,1.6,0.2252108582946459,0.32,0.44184282794324903,0.68,18.928052906341957,41.61,8.198992805014104,10.83,0.009268102222996786,0.07,0.12745287696834173,0.22,0.09196700868896006,0.0,0.360300572090357,0.0
