,PC1,PC2
SiO2,-0.3835547137471999,-0.3265468938407472
Na2O,-0.04296776709586736,-0.17806416454897417
K2O,-0.3247873579097562,0.1878705096766242
CaO,-0.1980016562259331,0.44713468624856034
MgO,-0.18298854577186566,0.39192532129259794
Al2O3,-0.2779807113194248,0.2524191418919871
Fe2O3,-0.2113774378493123,0.37562352252277764
CuO,0.16257503082285635,0.11671490213347507
PbO,0.3810875748353992,0.13937856045173586
BaO,0.39791837108665384,-0.0006615823674534227
P2O5,0.20720313583822447,0.44300514869038266
SrO,0.33469064802322834,0.19049811253269028
SnO2,-0.11446934379094961,0.006015485269688335
SO2,0.22990857620633226,0.04891977253503631
