文物采样点,文物编号,类型,亚类,表面风化
1,1,高钾,高钾-亚类1,无风化
3,3,高钾,高钾-亚类1,无风化
4,4,高钾,高钾-亚类1,无风化
5,5,高钾,高钾-亚类1,无风化
6,6,高钾,高钾-亚类1,无风化
7,7,高钾,高钾-亚类1,风化
9,9,高钾,高钾-亚类1,风化
10,10,高钾,高钾-亚类1,风化
12,12,高钾,高钾-亚类1,风化
13,13,高钾,高钾-亚类1,无风化
14,14,高钾,高钾-亚类2,无风化
16,16,高钾,高钾-亚类2,无风化
18,18,高钾,高钾-亚类1,无风化
21,21,高钾,高钾-亚类1,无风化
22,22,高钾,高钾-亚类1,风化
27,27,高钾,高钾-亚类1,风化
2,2,铅钡,铅钡-亚类1,风化
8,8,铅钡,铅钡-亚类4,风化
11,11,铅钡,铅钡-亚类4,风化
19,19,铅钡,铅钡-亚类4,风化
20,20,铅钡,铅钡-亚类4,无风化
23,23,铅钡,铅钡-亚类2,风化
24,24,铅钡,铅钡-亚类3,无风化
25,25,铅钡,铅钡-亚类3,风化
26,26,铅钡,铅钡-亚类4,风化
28,28,铅钡,铅钡-亚类4,风化
29,29,铅钡,铅钡-亚类1,风化
30,30,铅钡,铅钡-亚类4,无风化
31,31,铅钡,铅钡-亚类4,无风化
32,32,铅钡,铅钡-亚类3,无风化
33,33,铅钡,铅钡-亚类3,无风化
34,34,铅钡,铅钡-亚类3,风化
35,35,铅钡,铅钡-亚类3,无风化
36,36,铅钡,铅钡-亚类3,风化
37,37,铅钡,铅钡-亚类4,无风化
38,38,铅钡,铅钡-亚类3,风化
39,39,铅钡,铅钡-亚类3,风化
40,40,铅钡,铅钡-亚类3,风化
41,41,铅钡,铅钡-亚类4,风化
42,42,铅钡,铅钡-亚类3,风化
43,43,铅钡,铅钡-亚类4,风化
44,44,铅钡,铅钡-亚类2,风化
45,45,铅钡,铅钡-亚类2,无风化
46,46,铅钡,铅钡-亚类3,无风化
47,47,铅钡,铅钡-亚类3,无风化
48,48,铅钡,铅钡-亚类1,风化
49,49,铅钡,铅钡-亚类4,风化
50,50,铅钡,铅钡-亚类4,风化
51,51,铅钡,铅钡-亚类4,风化
52,52,铅钡,铅钡-亚类3,风化
53,53,铅钡,铅钡-亚类2,风化
54,54,铅钡,铅钡-亚类4,风化
55,55,铅钡,铅钡-亚类3,无风化
56,56,铅钡,铅钡-亚类3,风化
57,57,铅钡,铅钡-亚类2,风化
58,58,铅钡,铅钡-亚类4,风化
