文物编号,sigma,翻转率,平均最大支持度
A1,0.01,0.0,0.961770944421894
A2,0.01,0.0,0.7451394649385102
A3,0.01,0.0,0.9063478175717923
A4,0.01,0.0,0.9182835399643173
A5,0.01,0.0,0.7660817227993937
A6,0.01,0.0,0.9788319388290679
A7,0.01,0.0,0.9767570066580907
A8,0.01,0.0,0.9815763017033677
A1,0.03,0.0,0.9605177198654062
A2,0.03,0.0,0.7448291080252407
A3,0.03,0.0,0.9062534632169844
A4,0.03,0.0,0.9173112359640424
A5,0.03,0.0,0.7665518642091846
A6,0.03,0.0,0.9790455644590708
A7,0.03,0.0,0.9768916308934845
A8,0.03,0.0,0.9815469590367489
A1,0.05,0.0,0.9602875285506322
A2,0.05,0.0,0.7446826290338674
A3,0.05,0.0,0.9064204656510542
A4,0.05,0.0,0.9166827616289639
A5,0.05,0.0,0.7657263341203321
A6,0.05,0.0,0.9789173404241249
A7,0.05,0.0,0.9768042743615627
A8,0.05,0.0,0.9815104126086487
A1,0.08,0.0,0.9587072658868294
A2,0.08,0.0,0.7449807642278111
A3,0.08,0.0,0.9067500576650173
A4,0.08,0.0,0.9186660736642981
A5,0.08,0.0,0.7683716945513224
A6,0.08,0.0,0.9783560017664519
A7,0.08,0.0,0.9751904598981807
A8,0.08,0.0,0.9807547617703624
A1,0.1,0.0,0.9566327521025793
A2,0.1,0.0,0.7452944595205147
A3,0.1,0.0,0.9071889272751662
A4,0.1,0.0,0.9209198603716215
A5,0.1,0.0,0.7580062893542449
A6,0.1,0.0,0.977554555091874
A7,0.1,0.0,0.9750097287315868
A8,0.1,0.0,0.9793557028612335
A1,0.15,0.0,0.9502451526662752
A2,0.15,0.0,0.7458623498292556
A3,0.15,0.0,0.9073622864169179
A4,0.15,0.0,0.9216426197514815
A5,0.15,0.0,0.7523423904080728
A6,0.15,0.0,0.9739983412361107
A7,0.15,0.0,0.9731797099386887
A8,0.15,0.0,0.9801711095845869
