类型,成分1,成分2,比例协调系数rho,rho_CI低,rho_CI高,p值_置换,Spearman_r_原始,p_FDR,稳健关联
高钾,SiO2,K2O,-0.03898396542618199,-0.11892573467073168,0.027057764729004327,0.19,-0.7441176470588236,0.6107142857142858,False
高钾,SiO2,CaO,-0.09726218410039862,-0.26912394661706857,-0.058301581593632856,0.004,-0.8147058823529412,0.06,True
高钾,SiO2,MgO,0.055078222302975884,-0.1426847978898766,0.15631143853017188,0.446,-0.2088235294117647,0.7433333333333333,False
高钾,SiO2,Al2O3,-0.2623259020013102,-0.39375439056981604,-0.15816079758907592,0.002,-0.7088235294117646,0.045,True
高钾,SiO2,Fe2O3,-0.08135112249495645,-0.1175654217063285,0.06413553547772759,0.07,-0.4852941176470588,0.37636363636363634,False
高钾,SiO2,CuO,-0.0565783473456209,-0.08961545720724118,0.08132825964035027,0.09,-0.28529411764705886,0.37636363636363634,False
高钾,SiO2,PbO,0.018526405189157085,-0.07607329717259256,0.11175398357903306,0.702,0.2358471664404802,0.9025000000000001,False
高钾,SiO2,BaO,0.06363967921116381,-0.08023562590697615,0.15448829116926927,0.352,0.49432106798150627,0.713076923076923,False
高钾,SiO2,P2O5,0.0071522098017602126,-0.06673038868274729,0.0816486404358405,0.824,-0.14705882352941177,0.9507692307692307,False
高钾,K2O,CaO,-0.03635399300445008,-0.18307920715632087,0.3295801487690225,0.874,0.6411764705882352,0.9648837209302326,False
高钾,K2O,MgO,-0.15243139388094834,-0.4360599622260086,0.08487284568509229,0.484,-0.09705882352941177,0.766551724137931,False
高钾,K2O,Al2O3,-0.035165436889937514,-0.44886444762722094,0.04790073933672879,0.708,0.22647058823529412,0.9025000000000001,False
高钾,K2O,Fe2O3,-0.16875915604415803,-0.3292802741867284,0.4642857051211647,0.582,0.07941176470588236,0.8729999999999999,False
高钾,K2O,CuO,-0.19367820386087067,-0.34968166336921996,0.23615588112992195,0.336,-0.06470588235294117,0.713076923076923,False
高钾,K2O,PbO,-0.41342707183974947,-0.6581668095230742,0.10669476472687554,0.17,-0.45676729703029706,0.6107142857142858,False
高钾,K2O,BaO,-0.5012115364169133,-0.6124689266990586,-0.1799030307573191,0.002,-0.7583683465306339,0.045,True
高钾,K2O,P2O5,-0.22417872933176156,-0.3584282571848941,-0.012891851291671651,0.184,-0.21470588235294116,0.6107142857142858,True
高钾,CaO,MgO,-0.22467549874309822,-0.4295708470719522,0.38103569804358056,0.33,-0.12058823529411765,0.713076923076923,False
高钾,CaO,Al2O3,0.3743725546157402,-0.03557465292020161,0.730833308183464,0.006,0.6147058823529412,0.0675,False
高钾,CaO,Fe2O3,0.7048069293102031,-0.41114644305457065,0.9263340933576643,0.088,0.29411764705882354,0.37636363636363634,False
高钾,CaO,CuO,0.7785323674780879,-0.33365023312349756,0.9568154394321624,0.076,0.2823529411764706,0.37636363636363634,False
高钾,CaO,PbO,0.15455499543667756,-0.45604127388082377,0.45861807180532455,0.788,-0.2657012381418068,0.9507692307692307,False
高钾,CaO,BaO,-0.023964687877065977,-0.7223382941974332,0.2105552328565705,0.982,-0.5526570946377091,0.9979999999999999,False
高钾,CaO,P2O5,-0.19164818723434757,-0.37381520399665663,0.45258489555614306,0.3,-0.18529411764705883,0.713076923076923,False
高钾,MgO,Al2O3,0.18776711195752901,-0.12441172751033545,0.5936428598442983,0.39,0.4558823529411765,0.713076923076923,False
高钾,MgO,Fe2O3,-0.08647280246930256,-0.4426992476450865,0.7742248815508078,0.722,0.3558823529411765,0.9025000000000001,False
高钾,MgO,CuO,-0.24075765899241708,-0.48515056213398605,0.3518889744841359,0.314,-0.13529411764705881,0.713076923076923,False
高钾,MgO,PbO,0.002136563620064942,-0.4572419786435473,0.4687136950790707,0.998,-0.053737329062387894,0.9979999999999999,False
高钾,MgO,BaO,0.1634460036192239,-0.3923999773997964,0.4967724095307791,0.662,0.024562537539453734,0.9025000000000001,False
高钾,MgO,P2O5,0.16372658554394687,-0.1722308724864772,0.49077799352130896,0.4,0.3294117647058824,0.713076923076923,False
高钾,Al2O3,Fe2O3,0.2534797750844116,-0.25611682111164774,0.4053455610862627,0.092,0.4294117647058823,0.37636363636363634,False
高钾,Al2O3,CuO,0.14531859995490629,-0.5030238110252521,0.2869062311143736,0.312,0.047058823529411764,0.713076923076923,False
高钾,Al2O3,PbO,0.1665094463145052,-0.11482940547541642,0.4211125538887447,0.332,0.12538710114557172,0.713076923076923,False
高钾,Al2O3,BaO,0.07833208224988479,-0.2789939334402815,0.40757215892958515,0.698,-0.14430490804429066,0.9025000000000001,False
高钾,Al2O3,P2O5,0.02442871834808147,-0.2698527569765809,0.45707335408880717,0.82,0.01764705882352941,0.9507692307692307,False
高钾,Fe2O3,CuO,0.8560554760303684,0.27126069272913517,0.9439872170491964,0.008,0.6294117647058822,0.072,True
高钾,Fe2O3,PbO,0.060904927387098434,-0.6018238943193852,0.45734299339036427,0.91,-0.06567895774291853,0.9648837209302326,False
高钾,Fe2O3,BaO,0.2963238830319958,-0.23016101561996152,0.5987723900803563,0.382,0.17193776277617615,0.713076923076923,False
高钾,Fe2O3,P2O5,0.24322992664839685,-0.17206546025307795,0.7457507156703339,0.36,0.36176470588235293,0.713076923076923,False
高钾,CuO,PbO,0.0685042515573048,-0.6450730547015111,0.4488928550711542,0.884,-0.1432995441663677,0.9648837209302326,False
高钾,CuO,BaO,0.23052384150923433,-0.07399305075788229,0.5094493410142327,0.494,0.15351585962158584,0.766551724137931,False
