,SiO2,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5
SiO2,0.0,-0.02870288431196175,0.005850866330320545,0.0035644352256557557,-0.4149108351308907,-0.09083848754586926,0.05290096054869171,0.4239141165614884,0.40001210437071766,0.0804875441073103
K2O,-0.02870288431196175,0.0,-0.05688030674460413,-0.49492540323535456,-0.4923433867520195,-0.38145815951906675,0.00023057850857954865,-0.23625533113382188,-0.3434079505222208,-0.3645750211416035
CaO,0.005850866330320545,-0.05688030674460413,0.0,-0.5465208256020123,0.14250685054159987,0.43517124160335446,0.9541630656382422,0.04181612984587184,0.1716133793770047,-0.3963972191323207
MgO,0.0035644352256557557,-0.49492540323535456,-0.5465208256020123,0.0,-0.2734607652085165,-0.16065710843437764,-0.05480674631180413,0.05289281496342043,0.4786218488534155,0.04901592321859069
Al2O3,-0.4149108351308907,-0.4923433867520195,0.14250685054159987,-0.2734607652085165,0.0,-0.016056119494039567,0.25731397494071107,0.6247302984013943,0.4364022368152248,0.005154046602844405
Fe2O3,-0.09083848754586926,-0.38145815951906675,0.43517124160335446,-0.16065710843437764,-0.016056119494039567,0.0,1.2264591254180295,0.09514565112737566,0.6325759693350077,-0.14049373252142974
CuO,0.05290096054869171,0.00023057850857954865,0.9541630656382422,-0.05480674631180413,0.25731397494071107,1.2264591254180295,0.0,0.07801845618640532,-0.18129987611252557,0.029407241637112932
PbO,0.4239141165614884,-0.23625533113382188,0.04181612984587184,0.05289281496342043,0.6247302984013943,0.09514565112737566,0.07801845618640532,0.0,0.5468339928323698,-0.11885562717850183
BaO,0.40001210437071766,-0.3434079505222208,0.1716133793770047,0.4786218488534155,0.4364022368152248,0.6325759693350077,-0.18129987611252557,0.5468339928323698,0.0,0.27068103549190103
P2O5,0.0804875441073103,-0.3645750211416035,-0.3963972191323207,0.04901592321859069,0.005154046602844405,-0.14049373252142974,0.029407241637112932,-0.11885562717850183,0.27068103549190103,0.0
