,SiO2,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5
SiO2,1.0,0.051405016689913964,-0.20189511211183037,0.07568110456630886,0.19935269030796335,0.011818451041265356,-0.4918617201339538,-0.5867066942051777,-0.5473052212972509,-0.30165660393872024
K2O,0.05140501668991396,1.0,0.15980663780840712,0.37428155204562996,0.5219196911102512,0.23757420965858847,-0.11737084879306871,-0.24310519281638812,-0.07489556964617755,0.15178877454096626
CaO,-0.20189511211183037,0.1598066378084071,1.0,0.4233338201285316,0.4049908536750484,0.43231893908948676,-0.07232984669526576,0.08246165401444695,-0.2806885879536124,0.5090807155456186
MgO,0.07568110456630886,0.37428155204563,0.42333382012853166,1.0,0.609658757504825,0.12320924121663042,-0.15220277338603386,-0.026465952550418014,-0.34603526573037646,0.2035819541338779
Al2O3,0.19935269030796332,0.5219196911102512,0.4049908536750484,0.609658757504825,1.0,0.4010521421367115,-0.15628517823639776,-0.30994371482176364,-0.3703564727954972,0.23078369504887714
Fe2O3,0.011818451041265356,0.23757420965858847,0.43231893908948676,0.12320924121663042,0.40105214213671153,1.0,-0.32447217157312447,0.050013338800169824,-0.48803186178918084,0.4360958973721161
CuO,-0.4918617201339538,-0.11737084879306871,-0.07232984669526576,-0.15220277338603386,-0.15628517823639776,-0.32447217157312447,1.0,0.008818011257035649,0.4902439024390245,0.21088693077463477
PbO,-0.5867066942051777,-0.24310519281638812,0.08246165401444695,-0.026465952550418018,-0.30994371482176364,0.05001333880016983,0.008818011257035649,1.0,-0.0028142589118198874,0.14866261608679193
BaO,-0.5473052212972509,-0.07489556964617755,-0.2806885879536124,-0.34603526573037646,-0.3703564727954972,-0.48803186178918084,0.4902439024390245,-0.0028142589118198874,1.0,-0.15776632426887452
P2O5,-0.30165660393872024,0.15178877454096626,0.5090807155456186,0.2035819541338779,0.23078369504887714,0.4360958973721161,0.21088693077463477,0.14866261608679193,-0.15776632426887452,1.0
