,SiO2,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5
SiO2,1.0,-0.7441176470588236,-0.8147058823529412,-0.2088235294117647,-0.7088235294117646,-0.4852941176470588,-0.28529411764705886,0.2358471664404802,0.49432106798150627,-0.14705882352941177
K2O,-0.7441176470588236,1.0,0.6411764705882352,-0.09705882352941177,0.22647058823529412,0.07941176470588236,-0.06470588235294117,-0.45676729703029706,-0.7583683465306339,-0.21470588235294116
CaO,-0.8147058823529412,0.6411764705882352,1.0,-0.12058823529411765,0.6147058823529412,0.29411764705882354,0.2823529411764706,-0.2657012381418068,-0.5526570946377091,-0.18529411764705883
MgO,-0.2088235294117647,-0.09705882352941177,-0.12058823529411765,1.0,0.4558823529411765,0.3558823529411765,-0.13529411764705881,-0.053737329062387894,0.024562537539453734,0.3294117647058824
Al2O3,-0.7088235294117646,0.22647058823529412,0.6147058823529412,0.4558823529411765,1.0,0.4294117647058823,0.047058823529411764,0.12538710114557172,-0.14430490804429066,0.01764705882352941
Fe2O3,-0.4852941176470588,0.07941176470588236,0.29411764705882354,0.3558823529411765,0.4294117647058823,1.0,0.6294117647058822,-0.06567895774291853,0.17193776277617615,0.36176470588235293
CuO,-0.28529411764705886,-0.06470588235294117,0.2823529411764706,-0.13529411764705881,0.047058823529411764,0.6294117647058822,1.0,-0.1432995441663677,0.15351585962158584,0.5617647058823529
PbO,0.23584716644048018,-0.456767297030297,-0.2657012381418068,-0.05373732906238788,0.12538710114557172,-0.06567895774291853,-0.14329954416636773,1.0,0.7479575920067656,-0.22987635210021484
BaO,0.4943210679815063,-0.7583683465306339,-0.5526570946377091,0.024562537539453734,-0.1443049080442907,0.17193776277617612,0.15351585962158584,0.7479575920067657,1.0,0.0921095157729515
P2O5,-0.14705882352941177,-0.21470588235294116,-0.18529411764705883,0.3294117647058824,0.01764705882352941,0.36176470588235293,0.5617647058823529,-0.22987635210021484,0.0921095157729515,1.0
