成分1,成分2,高钾rho,铅钡rho,Delta_rho_高钾减铅钡,p值_分层置换,p_FDR
SiO2,K2O,-0.03898396542618199,-0.010281081114220238,-0.02870288431196175,0.723,0.9951136363636363
SiO2,CaO,-0.09726218410039862,-0.10311305043071917,0.005850866330320545,0.971,0.9951136363636363
SiO2,MgO,0.055078222302975884,0.05151378707732013,0.0035644352256557557,0.973,0.9951136363636363
SiO2,Al2O3,-0.2623259020013102,0.15258493312958055,-0.4149108351308907,0.039,0.12535714285714286
SiO2,Fe2O3,-0.08135112249495645,0.00948736505091282,-0.09083848754586926,0.343,0.6710869565217391
SiO2,CuO,-0.0565783473456209,-0.10947930789431261,0.05290096054869171,0.769,0.9951136363636363
SiO2,PbO,0.018526405189157085,-0.4053877113723313,0.4239141165614884,0.001,0.0064285714285714285
SiO2,BaO,0.06363967921116381,-0.33637242515955385,0.40001210437071766,0.001,0.0064285714285714285
SiO2,P2O5,0.0071522098017602126,-0.07333533430555009,0.0804875441073103,0.133,0.3740625
K2O,CaO,-0.03635399300445008,0.020526313740154047,-0.05688030674460413,0.837,0.9951136363636363
K2O,MgO,-0.15243139388094834,0.3424940093544062,-0.49492540323535456,0.024,0.09000000000000001
K2O,Al2O3,-0.035165436889937514,0.457177949862082,-0.4923433867520195,0.001,0.0064285714285714285
K2O,Fe2O3,-0.16875915604415803,0.21269900347490872,-0.38145815951906675,0.22,0.5210526315789474
K2O,CuO,-0.19367820386087067,-0.19390878236945022,0.00023057850857954865,1.0,1.0
K2O,PbO,-0.41342707183974947,-0.1771717407059276,-0.23625533113382188,0.017,0.06954545454545455
K2O,BaO,-0.5012115364169133,-0.1578035858946925,-0.3434079505222208,0.012,0.060000000000000005
K2O,P2O5,-0.22417872933176156,0.14039629180984195,-0.3645750211416035,0.213,0.5210526315789474
CaO,MgO,-0.22467549874309822,0.3218453268589141,-0.5465208256020123,0.143,0.37852941176470584
CaO,Al2O3,0.3743725546157402,0.23186570407414034,0.14250685054159987,0.524,0.9259615384615386
CaO,Fe2O3,0.7048069293102031,0.2696356877068486,0.43517124160335446,0.033,0.11423076923076923
CaO,CuO,0.7785323674780879,-0.17563069816015428,0.9541630656382422,0.001,0.0064285714285714285
CaO,PbO,0.15455499543667756,0.11273886559080572,0.04181612984587184,0.924,0.9951136363636363
CaO,BaO,-0.023964687877065977,-0.19557806725407068,0.1716133793770047,0.748,0.9951136363636363
CaO,P2O5,-0.19164818723434757,0.2047490318979731,-0.3963972191323207,0.241,0.5422499999999999
MgO,Al2O3,0.18776711195752901,0.46122787716604546,-0.2734607652085165,0.265,0.5678571428571428
MgO,Fe2O3,-0.08647280246930256,0.07418430596507507,-0.16065710843437764,0.565,0.9416666666666665
MgO,CuO,-0.24075765899241708,-0.18595091268061295,-0.05480674631180413,0.843,0.9951136363636363
MgO,PbO,0.002136563620064942,-0.050756251343355485,0.05289281496342043,0.791,0.9951136363636363
MgO,BaO,0.1634460036192239,-0.3151758452341916,0.4786218488534155,0.043,0.12899999999999998
MgO,P2O5,0.16372658554394687,0.11471066232535618,0.04901592321859069,0.842,0.9951136363636363
Al2O3,Fe2O3,0.2534797750844116,0.2695358945784512,-0.016056119494039567,0.901,0.9951136363636363
Al2O3,CuO,0.14531859995490629,-0.11199537498580481,0.25731397494071107,0.305,0.6238636363636364
Al2O3,PbO,0.1665094463145052,-0.45822085208688906,0.6247302984013943,0.001,0.0064285714285714285
Al2O3,BaO,0.07833208224988479,-0.35807015456533997,0.4364022368152248,0.003,0.016875
Al2O3,P2O5,0.02442871834808147,0.019274671745237063,0.005154046602844405,0.968,0.9951136363636363
Fe2O3,CuO,0.8560554760303684,-0.3704036493876612,1.2264591254180295,0.001,0.0064285714285714285
Fe2O3,PbO,0.060904927387098434,-0.03424072374027723,0.09514565112737566,0.742,0.9951136363636363
Fe2O3,BaO,0.2963238830319958,-0.3362520863030119,0.6325759693350077,0.015,0.06749999999999999
Fe2O3,P2O5,0.24322992664839685,0.3837236591698266,-0.14049373252142974,0.535,0.9259615384615386
CuO,PbO,0.0685042515573048,-0.009514204629100525,0.07801845618640532,0.824,0.9951136363636363
CuO,BaO,0.23052384150923433,0.4118237176217599,-0.18129987611252557,0.62,0.9951136363636363
CuO,P2O5,0.11588511437952576,0.08647787274241282,0.029407241637112932,0.903,0.9951136363636363
PbO,BaO,0.6057775919559627,0.05894359912359298,0.5468339928323698,0.001,0.0064285714285714285
PbO,P2O5,-0.052781082755385775,0.06607454442311606,-0.11885562717850183,0.701,0.9951136363636363
BaO,P2O5,0.216895495083515,-0.05378554040838603,0.27068103549190103,0.402,0.75375
