,SiO2,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5
SiO2,1.0,-0.010281081114220238,-0.10311305043071917,0.05151378707732013,0.15258493312958055,0.00948736505091282,-0.10947930789431261,-0.4053877113723313,-0.33637242515955385,-0.07333533430555009
K2O,-0.010281081114220238,1.0,0.020526313740154047,0.3424940093544062,0.457177949862082,0.21269900347490872,-0.19390878236945022,-0.1771717407059276,-0.1578035858946925,0.14039629180984195
CaO,-0.10311305043071917,0.020526313740154047,1.0,0.3218453268589141,0.23186570407414034,0.2696356877068486,-0.17563069816015428,0.11273886559080572,-0.19557806725407068,0.2047490318979731
MgO,0.05151378707732013,0.3424940093544062,0.3218453268589141,1.0,0.46122787716604546,0.07418430596507507,-0.18595091268061295,-0.050756251343355485,-0.3151758452341916,0.11471066232535618
Al2O3,0.15258493312958055,0.457177949862082,0.23186570407414034,0.46122787716604546,1.0,0.2695358945784512,-0.11199537498580481,-0.45822085208688906,-0.35807015456533997,0.019274671745237063
Fe2O3,0.00948736505091282,0.21269900347490872,0.2696356877068486,0.07418430596507507,0.2695358945784512,1.0,-0.3704036493876612,-0.03424072374027723,-0.3362520863030119,0.3837236591698266
CuO,-0.10947930789431261,-0.19390878236945022,-0.17563069816015428,-0.18595091268061295,-0.11199537498580481,-0.3704036493876612,1.0,-0.009514204629100525,0.4118237176217599,0.08647787274241282
PbO,-0.4053877113723313,-0.1771717407059276,0.11273886559080572,-0.050756251343355485,-0.45822085208688906,-0.03424072374027723,-0.009514204629100525,1.0,0.05894359912359298,0.06607454442311606
BaO,-0.33637242515955385,-0.1578035858946925,-0.19557806725407068,-0.3151758452341916,-0.35807015456533997,-0.3362520863030119,0.4118237176217599,0.05894359912359298,1.0,-0.05378554040838603
P2O5,-0.07333533430555009,0.14039629180984195,0.2047490318979731,0.11471066232535618,0.019274671745237063,0.3837236591698266,0.08647787274241282,0.06607454442311606,-0.05378554040838603,1.0
