,SiO2,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5
SiO2,1.0,-0.03898396542618199,-0.09726218410039862,0.055078222302975884,-0.2623259020013102,-0.08135112249495645,-0.0565783473456209,0.018526405189157085,0.06363967921116381,0.0071522098017602126
K2O,-0.03898396542618199,1.0,-0.03635399300445008,-0.15243139388094834,-0.035165436889937514,-0.16875915604415803,-0.19367820386087067,-0.41342707183974947,-0.5012115364169133,-0.22417872933176156
CaO,-0.09726218410039862,-0.03635399300445008,1.0,-0.22467549874309822,0.3743725546157402,0.7048069293102031,0.7785323674780879,0.15455499543667756,-0.023964687877065977,-0.19164818723434757
MgO,0.055078222302975884,-0.15243139388094834,-0.22467549874309822,1.0,0.18776711195752901,-0.08647280246930256,-0.24075765899241708,0.002136563620064942,0.1634460036192239,0.16372658554394687
Al2O3,-0.2623259020013102,-0.035165436889937514,0.3743725546157402,0.18776711195752901,1.0,0.2534797750844116,0.14531859995490629,0.1665094463145052,0.07833208224988479,0.02442871834808147
Fe2O3,-0.08135112249495645,-0.16875915604415803,0.7048069293102031,-0.08647280246930256,0.2534797750844116,1.0,0.8560554760303684,0.060904927387098434,0.2963238830319958,0.24322992664839685
CuO,-0.0565783473456209,-0.19367820386087067,0.7785323674780879,-0.24075765899241708,0.14531859995490629,0.8560554760303684,1.0,0.0685042515573048,0.23052384150923433,0.11588511437952576
PbO,0.018526405189157085,-0.41342707183974947,0.15455499543667756,0.002136563620064942,0.1665094463145052,0.060904927387098434,0.0685042515573048,1.0,0.6057775919559627,-0.052781082755385775
BaO,0.06363967921116381,-0.5012115364169133,-0.023964687877065977,0.1634460036192239,0.07833208224988479,0.2963238830319958,0.23052384150923433,0.6057775919559627,1.0,0.216895495083515
P2O5,0.0071522098017602126,-0.22417872933176156,-0.19164818723434757,0.16372658554394687,0.02442871834808147,0.24322992664839685,0.11588511437952576,-0.052781082755385775,0.216895495083515,1.0
